,model,score,task,category,question_id
59,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
60,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
61,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
62,mistral-24b,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
63,mistral-7b,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
64,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
65,qwen-32b,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
66,gemma-3-12b-it,100.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
67,gemma-3-1b-it,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
68,gemma-3-4b-it,100.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
69,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
70,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
71,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
72,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
73,mistral-24b,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
74,mistral-7b,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
75,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
76,qwen-32b,100.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
77,gemma-3-12b-it,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
78,gemma-3-1b-it,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
79,gemma-3-4b-it,100.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
80,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
81,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
82,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
83,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
84,mistral-24b,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
85,mistral-7b,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
86,qwen-2.5-3b-instruct,100.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
87,qwen-32b,100.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
88,gemma-3-12b-it,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
89,gemma-3-1b-it,0.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
90,gemma-3-4b-it,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
91,llama-3.1-70b-instruct,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
92,llama-3.1-8b-instruct,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
93,llama-3.2-1b-instruct,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
94,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
95,mistral-24b,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
96,mistral-7b,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
97,qwen-2.5-3b-instruct,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
98,qwen-32b,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
99,gemma-3-12b-it,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
100,gemma-3-1b-it,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
101,gemma-3-4b-it,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
102,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
103,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
104,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
105,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
106,mistral-24b,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
107,mistral-7b,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
108,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
109,qwen-32b,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
110,gemma-3-12b-it,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
111,gemma-3-1b-it,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
112,gemma-3-4b-it,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
113,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
114,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
115,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
116,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
117,mistral-24b,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
118,mistral-7b,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
119,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
120,qwen-32b,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
121,gemma-3-12b-it,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
122,gemma-3-1b-it,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
123,gemma-3-4b-it,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
124,llama-3.1-70b-instruct,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
125,llama-3.1-8b-instruct,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
126,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
127,llama-3.2-3b-instruct,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
128,mistral-24b,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
129,mistral-7b,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
130,qwen-2.5-3b-instruct,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
131,qwen-32b,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
132,gemma-3-12b-it,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
133,gemma-3-1b-it,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
134,gemma-3-4b-it,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
135,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
136,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
137,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
138,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
139,mistral-24b,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
140,mistral-7b,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
141,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
142,qwen-32b,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
143,gemma-3-12b-it,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
144,gemma-3-1b-it,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
145,gemma-3-4b-it,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
146,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
147,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
148,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
149,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
150,mistral-24b,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
151,mistral-7b,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
152,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
153,qwen-32b,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
154,gemma-3-12b-it,100.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
155,gemma-3-1b-it,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
156,gemma-3-4b-it,100.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
157,llama-3.1-70b-instruct,100.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
158,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
159,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
160,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
161,mistral-24b,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
162,mistral-7b,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
163,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
164,qwen-32b,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
165,gemma-3-12b-it,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
166,gemma-3-1b-it,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
167,gemma-3-4b-it,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
168,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
169,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
170,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
171,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
172,mistral-24b,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
173,mistral-7b,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
174,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
175,qwen-32b,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
176,gemma-3-12b-it,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
177,gemma-3-1b-it,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
178,gemma-3-4b-it,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
179,llama-3.1-70b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
180,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
181,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
182,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
183,mistral-24b,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
184,mistral-7b,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
185,qwen-2.5-3b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
186,qwen-32b,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
187,gemma-3-12b-it,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
188,gemma-3-1b-it,0.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
189,gemma-3-4b-it,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
190,llama-3.1-70b-instruct,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
191,llama-3.1-8b-instruct,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
192,llama-3.2-1b-instruct,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
193,llama-3.2-3b-instruct,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
194,mistral-24b,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
195,mistral-7b,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
