,model,score,task,category,question_id
59,qwen2.5-3b,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
60,gemma-3-12b-it,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
61,gemma-3-1b-it,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
62,gemma-3-4b-it,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
63,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
64,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
65,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
66,mistral-24b,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
67,mistral-7b,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
68,qwen2.5-32b,100.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
69,qwen2.5-3b,0.0,AMPS_Hard,math,09dc173d887e37c39cef2242d0da8491e0c566db012ff8af6ec5443924a03f8e
70,gemma-3-12b-it,100.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
71,gemma-3-1b-it,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
72,gemma-3-4b-it,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
73,llama-3.1-8b-instruct,100.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
74,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
75,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
76,mistral-24b,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
77,mistral-7b,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
78,qwen2.5-32b,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
79,qwen2.5-3b,0.0,AMPS_Hard,math,0a3e062e9ac1b71fa3e72e0ebbcbbe15ba5a998827697b2ac9663753ae931aac
80,gemma-3-12b-it,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
81,gemma-3-1b-it,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
82,gemma-3-4b-it,0.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
83,llama-3.1-8b-instruct,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
84,llama-3.2-1b-instruct,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
85,llama-3.2-3b-instruct,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
86,mistral-24b,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
87,mistral-7b,0.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
88,qwen2.5-32b,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
89,qwen2.5-3b,100.0,AMPS_Hard,math,0eda6ea2c51124fa08ba73dd0ca455efc1cd3be03e7a374d0a5f03982ef6c47b
90,gemma-3-12b-it,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
91,gemma-3-1b-it,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
92,gemma-3-4b-it,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
93,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
94,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
95,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
96,mistral-24b,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
97,mistral-7b,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
98,qwen2.5-32b,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
99,qwen2.5-3b,0.0,AMPS_Hard,math,141446ec0e41f16e627c8e9ec237758d981866c0c39f89cbe41903d9dd1aadac
100,gemma-3-12b-it,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
101,gemma-3-1b-it,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
102,gemma-3-4b-it,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
103,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
104,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
105,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
106,mistral-24b,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
107,mistral-7b,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
108,qwen2.5-32b,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
109,qwen2.5-3b,0.0,AMPS_Hard,math,16e7a9bacba52188ecc9251cfe08ada7754088e00d8b9c099626ed84e41b3cda
110,gemma-3-12b-it,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
111,gemma-3-1b-it,0.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
112,gemma-3-4b-it,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
113,llama-3.1-8b-instruct,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
114,llama-3.2-1b-instruct,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
115,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
116,mistral-24b,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
117,mistral-7b,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
118,qwen2.5-32b,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
119,qwen2.5-3b,100.0,AMPS_Hard,math,16fc1a491a2f9711a014f639c65a78c4cb5c7a568da179d4ccbccfb1fcfc2d24
120,gemma-3-12b-it,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
121,gemma-3-1b-it,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
122,gemma-3-4b-it,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
123,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
124,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
125,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
126,mistral-24b,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
127,mistral-7b,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
128,qwen2.5-32b,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
129,qwen2.5-3b,0.0,AMPS_Hard,math,172a3ebc82eb26ef5ab3602c34d632265b608c43ae971768486b66f2c79cbf13
130,gemma-3-12b-it,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
131,gemma-3-1b-it,100.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
132,gemma-3-4b-it,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
133,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
134,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
135,llama-3.2-3b-instruct,100.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
136,mistral-24b,100.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
137,mistral-7b,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
138,qwen2.5-32b,0.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
139,qwen2.5-3b,100.0,AMPS_Hard,math,1ce71e5cf0fa5fd2055d0a786be91fc4a6edccb4f9114ea29ff90563a35dd2dc
140,gemma-3-12b-it,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
141,gemma-3-1b-it,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
142,gemma-3-4b-it,100.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
143,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
144,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
145,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
146,mistral-24b,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
147,mistral-7b,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
148,qwen2.5-32b,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
149,qwen2.5-3b,0.0,AMPS_Hard,math,1f7c4e8e641d24e76abfa03615726236aada72f878a08014c9fa4f4cc3142cd9
150,gemma-3-12b-it,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
151,gemma-3-1b-it,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
152,gemma-3-4b-it,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
153,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
154,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
155,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
156,mistral-24b,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
157,mistral-7b,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
158,qwen2.5-32b,100.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
159,qwen2.5-3b,0.0,AMPS_Hard,math,22a38bfb413b5947af60a90709f4612bd09fc3701d4051e0fcc8fb004efa642d
160,gemma-3-12b-it,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
161,gemma-3-1b-it,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
162,gemma-3-4b-it,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
163,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
164,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
165,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
166,mistral-24b,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
167,mistral-7b,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
168,qwen2.5-32b,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
169,qwen2.5-3b,0.0,AMPS_Hard,math,237421810b6e6cbfebd1d5fa853413e0e881261cd64991667eddb01996caea7a
170,gemma-3-12b-it,0.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
171,gemma-3-1b-it,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
172,gemma-3-4b-it,0.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
173,llama-3.1-8b-instruct,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
174,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
175,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
176,mistral-24b,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
177,mistral-7b,0.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
178,qwen2.5-32b,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
179,qwen2.5-3b,100.0,AMPS_Hard,math,237893b70dd8ba741a256b14f5e8557e23f38643a12c3ffd29e9e9af3136f737
180,gemma-3-12b-it,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
181,gemma-3-1b-it,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
182,gemma-3-4b-it,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
183,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
184,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
185,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
186,mistral-24b,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
187,mistral-7b,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
188,qwen2.5-32b,100.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
189,qwen2.5-3b,0.0,AMPS_Hard,math,253a180a13ca7208af286f9fbc80295acf290ce1606af1b4e19a5e304467c967
190,gemma-3-12b-it,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
191,gemma-3-1b-it,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
192,gemma-3-4b-it,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
193,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
194,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
195,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
196,mistral-24b,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
197,mistral-7b,0.0,AMPS_Hard,math,2753cfaab5930d988ddbd7846c8d52031dd16dbd0fea15986bca800b2166711f
